iter	Passed	Remaining
0	120	120815
1	122	61132
2	123	41176
3	125	31242
4	126	25257
5	128	21315
6	134	19012
7	135	16854
8	137	15166
9	139	13793
10	140	12658
11	143	11789
12	145	11057
13	147	10354
14	148	9741
15	149	9204
16	150	8728
17	152	8312
18	153	7951
19	155	7632
20	157	7350
21	159	7094
22	161	6839
23	162	6602
24	163	6388
25	165	6209
26	167	6030
27	169	5876
28	173	5795
29	175	5660
30	176	5522
31	178	5387
32	179	5253
33	180	5125
34	181	5004
35	183	4901
36	184	4805
37	185	4706
38	188	4636
39	189	4555
40	191	4472
41	192	4389
42	193	4312
43	195	4239
44	196	4169
45	197	4099
46	198	4030
47	200	3968
48	201	3910
49	203	3870
50	205	3819
51	206	3766
52	207	3710
53	208	3659
54	210	3609
55	211	3560
56	212	3512
57	213	3469
58	215	3432
59	216	3399
60	218	3368
61	220	3331
62	221	3293
63	222	3254
64	223	3216
65	224	3179
66	225	3145
67	227	3119
68	229	3090
69	230	3061
70	232	3040
71	233	3015
72	235	2984
73	236	2954
74	237	2925
75	238	2902
76	239	2876
77	241	2849
78	242	2824
79	243	2803
80	245	2782
81	247	2767
82	247	2738
83	249	2716
84	250	2693
85	251	2670
86	252	2649
87	253	2628
88	254	2609
89	256	2592
90	257	2574
91	259	2557
92	260	2540
93	262	2528
94	264	2514
95	265	2498
96	266	2481
97	267	2464
98	268	2447
99	270	2433
100	271	2419
101	273	2404
102	274	2390
103	275	2376
104	277	2368
105	279	2357
106	280	2343
107	281	2328
108	283	2313
109	284	2299
110	285	2286
111	286	2272
112	287	2257
113	289	2246
114	290	2237
115	292	2229
116	293	2214
117	294	2202
118	295	2189
119	296	2176
120	298	2165
121	299	2152
122	300	2141
123	301	2130
124	302	2119
125	304	2108
126	305	2097
127	306	2090
128	308	2081
129	309	2070
130	310	2060
131	311	2050
132	313	2041
133	314	2032
134	315	2024
135	317	2014
136	318	2005
137	319	1997
138	321	1993
139	323	1985
140	324	1976
141	325	1964
142	326	1954
143	327	1946
144	328	1938
145	329	1930
146	331	1921
147	332	1912
148	333	1905
149	335	1899
150	337	1896
151	338	1888
152	339	1880
153	340	1872
154	342	1865
155	343	1857
156	344	1849
157	345	1841
158	346	1833
159	348	1828
160	349	1819
161	350	1813
162	352	1811
163	354	1804
164	355	1797
165	356	1791
166	357	1784
167	359	1779
168	360	1773
169	361	1766
170	363	1760
171	364	1755
172	366	1751
173	367	1744
174	368	1737
175	369	1731
176	371	1725
177	372	1722
178	374	1716
179	375	1710
180	376	1703
181	377	1697
182	379	1692
183	381	1690
184	383	1687
185	384	1681
186	385	1675
187	386	1670
188	387	1664
189	389	1659
190	390	1655
191	392	1650
192	393	1646
193	395	1643
194	397	1641
195	399	1638
196	400	1633
197	402	1630
198	406	1637
199	409	1639
200	411	1636
201	413	1633
202	415	1629
203	416	1625
204	417	1620
205	419	1615
206	420	1611
207	421	1606
208	423	1602
209	424	1598
210	427	1597
211	428	1592
212	429	1587
213	431	1583
214	432	1577
